,Player,Year Drafted,Pick,Height,Wingspan,Vertical,Weight,Body Fat,Bench,Agility,Sprint
209,Tony Mitchell (Alabama),2012,,78.25,82.0,40.0,216.0,5.7,14.0,11.72,3.47
210,Tu Holloway,2012,,71.75,77.5,35.0,187.0,8.5,12.0,11.0,3.42
211,William Buford,2012,,77.0,81.5,32.5,215.0,11.3,8.0,11.4,3.43
212,C.J. McCollum,2013,10,75.25,78.25,38.5,197.0,8.6,13.0,11.02,3.32
213,Michael Carter-Williams,2013,11,77.75,79.25,41.0,184.0,4.4,8.0,10.68,3.22
214,Steven Adams,2013,12,84.0,88.5,33.0,255.0,6.7,16.0,11.85,3.4
215,Kelly Olynyk,2013,13,84.0,81.75,29.5,234.0,6.7,5.0,11.42,3.59
216,Shabazz Muhammad,2013,14,78.25,83.0,37.0,222.0,9.0,10.0,10.99,3.32
217,Dennis Schroeder,2013,17,74.0,79.75,34.0,165.0,4.1,1.0,11.09,3.21
218,Shane Larkin,2013,18,71.5,70.75,44.0,171.0,3.8,12.0,10.64,3.08
219,Victor Oladipo,2013,2,76.25,81.25,42.0,213.0,6.6,15.0,10.69,3.25
220,Tony Snell,2013,20,79.25,83.5,36.5,198.0,4.9,7.0,10.36,3.25
221,Gorgui Dieng,2013,21,82.75,87.5,,230.0,5.4,,,
222,Mason Plumlee,2013,22,84.5,83.0,36.0,238.0,6.2,14.0,10.89,3.29
223,Solomon Hill,2013,23,79.0,81.0,37.5,226.0,7.6,14.0,10.77,3.19
224,Tim Hardaway Jr,2013,24,78.25,79.0,37.5,199.0,6.1,16.0,10.68,3.25
225,Reggie Bullock,2013,25,79.0,80.75,36.5,200.0,7.0,11.0,11.33,3.31
226,Andre Roberson,2013,26,79.0,83.0,36.5,206.0,7.1,10.0,11.36,3.34
227,Rudy Gobert,2013,27,86.0,92.5,29.0,238.0,4.4,7.0,12.85,3.57
228,Archie Goodwin,2013,29,77.25,81.5,36.0,189.0,4.6,1.0,10.75,3.27
229,Otto Porter,2013,3,80.5,85.5,36.0,198.0,6.7,9.0,11.25,3.4
230,Allen Crabbe,2013,31,78.25,83.25,36.0,197.0,4.7,10.0,10.67,3.32
231,Carrick Felix,2013,33,78.25,81.25,38.5,203.0,3.3,15.0,11.16,3.25
232,Isaiah Canaan,2013,34,72.0,76.5,40.5,188.0,5.9,16.0,10.98,3.22
233,Glen Rice,2013,35,77.75,81.25,40.5,211.0,8.5,10.0,10.99,3.25
234,Ray McCallum,2013,36,73.75,75.25,40.0,191.0,7.3,5.0,10.82,3.25
235,Tony Mitchell,2013,37,80.75,86.5,38.0,236.0,5.6,13.0,11.82,3.52
236,Nate Wolters,2013,38,76.75,75.75,,196.0,5.5,8.0,,
237,Jeff Withey,2013,39,84.5,86.0,29.0,222.0,8.7,10.0,12.49,3.47
238,Cody Zeller,2013,4,84.25,82.75,37.5,230.0,4.8,17.0,10.82,3.15
239,Grant Jerrett,2013,40,82.25,86.0,34.0,232.0,10.1,2.0,11.85,3.51
240,Jamaal Franklin,2013,41,77.25,83.25,,191.0,8.3,,,
241,Pierre Jackson,2013,42,70.5,70.0,,176.0,4.5,,,
242,Ricky Ledo,2013,43,78.0,79.25,33.5,197.0,10.3,4.0,10.72,3.32
243,Mike Muscala,2013,44,83.5,85.0,33.5,230.0,6.8,5.0,11.76,3.44
244,Erick Green,2013,46,75.0,77.75,,178.0,4.4,5.0,,
245,Ryan Kelly,2013,48,83.75,83.5,,228.0,14.8,,,
246,Erik Murphy,2013,49,81.5,82.5,29.5,240.0,8.0,13.0,12.19,3.57
247,James Ennis,2013,50,79.0,83.5,36.5,201.0,4.5,7.0,11.55,3.4
248,Lorenzo Brown,2013,52,77.25,79.0,34.0,189.0,4.0,8.0,11.78,3.4
249,Colton Iverson,2013,53,84.0,86.0,,263.0,9.6,12.0,,
250,Peyton Siva,2013,56,73.0,75.0,41.5,181.0,6.1,15.0,10.59,3.16
251,Deshaun Thomas,2013,58,79.0,82.0,32.0,220.0,9.1,5.0,12.94,3.53
252,Nerlens Noel,2013,6,83.75,87.75,,206.0,4.2,,,
253,Ben McLemore,2013,7,76.75,79.75,42.0,189.0,5.0,6.0,11.87,3.27
254,Kentavious Caldwell-Pope,2013,8,77.5,80.0,34.5,204.0,6.5,7.0,10.6,3.12
255,Trey Burke,2013,9,73.25,77.5,36.5,187.0,6.9,3.0,11.2,3.16
256,Adonis Thomas,2013,,77.75,85.0,40.5,232.0,7.5,13.0,11.66,3.32
257,B.J. Young,2013,,75.5,80.25,,179.0,4.7,,,
258,Brandon Davies,2013,,82.25,85.5,31.5,242.0,8.6,7.0,11.22,3.5
259,Brandon Paul,2013,,76.0,82.25,39.5,201.0,5.3,15.0,11.16,3.37
260,C.J. Leslie,2013,,80.75,86.25,40.5,209.0,8.0,,10.19,3.1
261,DeWayne Dedmon,2013,,83.5,88.0,32.5,239.0,8.4,8.0,12.75,3.4
262,Jackie Carmichael,2013,,81.0,85.5,32.0,241.0,5.8,13.0,11.83,3.35
263,James Southerland,2013,,80.0,85.0,32.0,221.0,8.1,5.0,10.9,3.38
264,Kenny Kadji,2013,,82.0,87.0,38.0,242.0,7.5,9.0,11.47,3.44
265,Myck Kabongo,2013,,74.75,78.25,33.5,180.0,6.0,2.0,10.64,3.34
266,Norvel Pelle,2013,,82.5,86.5,34.5,207.0,5.2,,11.49,3.32
267,Phil Pressey,2013,,71.5,74.25,38.5,177.0,4.7,7.0,10.86,3.13
268,Richard Howell,2013,,79.5,82.25,,250.0,8.8,,,
269,Robert Covington,2013,,79.5,85.75,36.0,209.0,4.7,9.0,11.69,3.34
270,Seth Curry,2013,,75.0,76.0,,179.0,9.6,,,
271,Trevor Mbakwe,2013,,80.0,88.0,36.5,236.0,5.9,21.0,12.01,3.32
272,Vander Blue,2013,,77.25,78.0,37.5,197.0,4.6,4.0,10.4,3.14
273,Will Clyburn,2013,,79.0,84.25,34.5,210.0,6.9,3.0,11.68,3.38
274,Elfrid Payton,2014,10,75.75,80.0,35.5,185.0,5.7,,11.06,3.23
275,Doug McDermott,2014,11,79.75,81.25,36.5,218.0,7.1,,11.1,3.29
276,Zach LaVine,2014,13,77.75,80.25,41.5,181.0,4.7,,10.42,3.19
277,T.J. Warren,2014,14,80.25,82.25,35.5,220.0,8.0,,11.1,3.26
278,Adreian Payne,2014,15,81.75,88.0,,239.0,7.6,,,
279,James Young,2014,17,78.75,84.0,35.5,213.0,5.1,,,
280,Tyler Ennis,2014,18,74.5,79.25,36.0,182.0,6.2,,11.12,3.3
281,Gary Harris,2014,19,76.5,78.75,,205.0,4.6,,,
282,Jordan Adams,2014,22,76.75,82.0,29.5,209.0,10.8,,12.13,3.5
283,Rodney Hood,2014,23,80.5,80.5,36.0,208.0,7.5,,11.21,3.38
284,Shabazz Napier,2014,24,73.0,75.25,37.5,175.0,7.4,,11.6,3.2
285,P.J. Hairston,2014,26,77.25,81.0,37.0,229.0,8.2,,11.12,3.32
286,C.J. Wilcox,2014,28,77.0,81.75,37.5,201.0,6.5,,11.3,3.22
287,Kyle Anderson,2014,30,80.5,86.75,,230.0,13.4,,,
288,K.J. McDaniels,2014,32,78.0,83.25,37.0,196.0,4.5,,12.71,3.1
289,Joe Harris,2014,33,78.25,78.0,33.5,215.0,6.2,,11.11,3.31
290,Cleanthony Early,2014,34,79.25,82.75,40.0,209.0,4.5,,11.15,3.18
291,Jarnell Stokes,2014,35,80.5,85.25,36.0,263.0,8.2,,11.92,3.26
292,Johnny O'Bryant,2014,36,80.5,86.25,35.5,257.0,10.8,,11.57,3.45
293,DeAndre Daniels,2014,37,80.5,86.0,32.0,196.0,3.9,,11.46,3.44
294,Spencer Dinwiddie,2014,38,78.0,80.25,,205.0,5.4,,,
295,Jerami Grant,2014,39,79.75,86.75,,214.0,3.8,,,
296,Aaron Gordon,2014,4,80.75,83.75,39.0,220.0,5.1,,10.81,3.27
297,Glenn Robinson,2014,40,78.75,82.0,41.5,211.0,5.1,,11.22,3.15
298,Nick Johnson,2014,42,75.0,79.25,41.5,198.0,6.1,,10.8,3.27
299,Markel Brown,2014,44,75.5,80.75,43.5,184.0,4.2,,12.62,3.18
300,Dwight Powell,2014,45,83.0,84.5,35.0,234.0,6.2,,11.28,3.2
